ARTIKEL;SORTE;AUFTRAG;POSITION;KUNDE;WUNSCHLIEFERTERMIN;LIEFERTERMIN;WUNSCHMENGE
15-070-435-01880-076130G0;K 15;25032353;1;C-110;3/23/26;;25000
15-070-435-01880-076130G0;K 15;25032359;1;C-120;3/23/26;;25000
15-070-435-01800-076130G0;K 15;25032370;1;C-130;3/23/26;;25000
15-070-435-01740-076130G0;K 15;25032449;2;C-130;3/23/26;;12500
15-070-435-01800-076130G0;K 15;25032345;1;C-100;3/23/26;;25000
15-070-435-01860-076130G0;K 15;25032346;1;C-100;3/23/26;;25000
15-070-435-01900-076130G0;K 15;25032347;1;C-100;3/23/26;;25000
15-070-435-01880-076130G0;K 15;25032501;1;C-130;3/23/26;;25000
15-070-435-01680-076130G0;K 15;25032449;1;C-130;3/23/26;;12500
15-070-435-01860-076130G0;K 15;25032352;1;C-110;3/23/26;;25000
15-070-435-01840-076130G0;K 15;25032447;1;C-100;3/23/26;;25000
15-070-435-01700-076130G0;K 15;25032176;1;C-110;3/20/26 17:00;;7500
15-070-435-01880-076130G0;K 15;25032176;3;C-110;3/20/26 17:00;;11500
15-070-435-01840-076130G0;K 15;25032341;1;C-100;3/20/26;;25000
15-070-435-01890-076130G0;K 15;25032343;1;C-100;3/20/26;;25000
15-070-435-01880-076130G0;K 15;25032367;1;C-130;3/20/26;;25000
15-070-435-01860-076130G0;K 15;25032358;1;C-120;3/20/26;;25000
15-070-435-01890-076130G0;K 15;25032351;1;C-110;3/20/26;;25000
15-070-435-01880-076130G0;K 15;25032342;1;C-100;3/20/26;;25000
15-070-435-01760-076130G0;K 15;25032211;1;C-110;3/19/26 17:00;;25000
15-070-435-01840-076130G0;K 15;25032338;1;C-100;3/19/26;;25000
15-070-435-01860-076130G0;K 15;25032339;1;C-100;3/19/26;;25000
15-070-435-01800-076130G0;K 15;25032356;1;C-120;3/19/26;;25000
15-070-435-01880-076130G0;K 15;25032350;2;C-110;3/19/26;;17500
15-070-435-01880-076130G0;K 15;25032365;1;C-130;3/19/26;;25000
15-070-435-01000-076130G0;K 15;25032337;1;C-100;3/19/26;;15000
15-070-435-01720-076130G0;K 15;25032337;2;C-100;3/19/26;;10000
15-070-435-01840-076130G0;K 15;25032364;1;C-130;3/19/26;;25000
15-070-435-01840-076130G0;K 15;25032357;1;C-120;3/19/26;;25000
15-070-435-01800-076130G0;K 15;25032083;1;C-110;3/18/26 17:00;;25000
15-070-435-01760-076130G0;K 15;25032233;1;C-130;3/18/26 17:00;;25000
15-070-435-01860-076130G0;K 15;25032360;1;C-130;3/18/26 17:00;;25000
15-070-435-01800-076130G0;K 15;25032204;1;C-100;3/18/26 17:00;;25000
15-070-435-01840-076130G0;K 15;25032349;1;C-110;3/18/26;;23600
15-070-435-01880-076130G0;K 15;25032355;1;C-120;3/18/26;;25000
15-070-435-01880-076130G0;K 15;25032336;1;C-100;3/18/26;;25000
15-070-435-01860-076130G0;K 15;25032170;3;C-100;3/17/26 17:00;;10000
15-070-435-13500-076130G0;K 15;25032170;2;C-100;3/17/26 17:00;;7500
15-070-435-12800-076130G0;K 15;25032170;1;C-100;3/17/26 17:00;;7500
15-070-435-01860-076130G0;K 15;25032212;1;C-110;3/17/26 17:00;;25000
05-070-420-00600-076150G0;K 05;25032526;1;C-120;3/17/26;;5000
15-070-435-01880-076130G0;K 15;25032361;1;C-130;3/17/26;;25000
15-070-435-01840-076130G0;K 15;25032333;1;C-100;3/17/26;;25000
15-070-435-01860-076130G0;K 15;25032334;1;C-100;3/17/26;;25000
05-070-420-01900-076150G0;K 05;25032526;2;C-120;3/17/26;;20000
15-070-435-01860-076130G0;K 15;25032230;1;C-130;3/16/26 17:00;3/13/26;25000
15-070-435-01720-076130G0;K 15;25032232;1;C-130;3/16/26;3/13/26;25000
15-070-435-01880-076130G0;K 15;25032220;1;C-120;3/16/26;;25000
15-070-435-01890-076130G0;K 15;25032221;1;C-120;3/16/26;;20000
15-070-435-01880-076130G0;K 15;25032213;1;C-110;3/16/26;;25000
15-070-435-01840-076130G0;K 15;25032234;1;C-130;3/16/26;;25000
15-070-435-01760-076130G0;K 15;25032203;1;C-100;3/16/26;;25000
15-070-435-01840-076130G0;K 15;25032205;1;C-100;3/16/26;;25000
15-070-435-01890-076130G0;K 15;25032206;1;C-100;3/16/26;;25000
05-070-420-00900-076150G0;K 05;25032524;1;C-120;3/16/26;;25000
15-070-435-01900-076130G0;K 15;25032221;2;C-120;3/16/26;;5000
05-070-420-01100-076150G0;K 05;25031937;2;C-120;3/13/26 17:00;3/12/26;12500
05-070-420-01200-076150G0;K 05;25031937;1;C-120;3/13/26 17:00;3/12/26;12500
15-070-435-01880-076130G0;K 15;25032231;1;C-130;3/13/26;3/12/26;25000
15-070-435-01840-076130G0;K 15;25032219;1;C-120;3/13/26;3/12/26;25000
15-070-435-01860-076130G0;K 15;25032200;1;C-100;3/13/26;3/12/26;25000
15-070-435-01880-076130G0;K 15;25032201;1;C-100;3/13/26;3/12/26;25000
15-070-435-01900-076130G0;K 15;25032202;1;C-100;3/13/26;3/12/26;25000
15-070-435-01800-076130G0;K 15;25032229;1;C-130;3/13/26;3/12/26;25000
15-070-435-01700-076130G0;K 15;25031653;1;C-130;3/12/26 17:00;3/11/26;10000
15-070-435-01840-076130G0;K 15;25032084;1;C-110;3/12/26 17:00;3/11/26;25000
15-070-435-01840-076130G0;K 15;25032067;1;C-100;3/12/26 17:00;3/11/26;25000
15-070-435-01880-076130G0;K 15;25031653;2;C-130;3/12/26 17:00;3/11/26;15000
15-070-435-01880-076130G0;K 15;25032210;1;C-110;3/12/26;3/11/26;25000
15-070-435-01860-076130G0;K 15;25032197;1;C-100;3/12/26;3/11/26;25000
15-070-435-00750-076130G0;K 15;25032168;1;C-100;3/12/26;;12500
15-070-435-01860-076130G0;K 15;25032168;2;C-100;3/12/26;;12500
15-070-435-01860-076130G0;K 15;25032218;1;C-120;3/12/26;3/11/26;25000
15-070-435-01800-076130G0;K 15;25032217;1;C-120;3/12/26;3/10/26;25000
15-070-435-01820-076130G0;K 15;25032196;2;C-100;3/12/26;3/11/26;15000
15-070-435-01780-076130G0;K 15;25032196;1;C-100;3/12/26;3/11/26;10000
15-070-435-01860-076130G0;K 15;25032228;1;C-130;3/12/26;3/11/26;25000
15-070-435-01800-076130G0;K 15;25032063;1;C-100;3/11/26 17:00;3/10/26;25000
15-070-435-01860-076130G0;K 15;25031969;1;C-110;3/11/26 17:00;3/10/26;25000
15-070-435-01880-076130G0;K 15;25032216;1;C-120;3/11/26;3/10/26;25000
15-070-435-01760-076130G0;K 15;25032215;1;C-120;3/11/26;3/10/26;25000
15-070-435-01860-076130G0;K 15;25032194;1;C-100;3/11/26;3/10/26;25000
15-070-435-01880-076130G0;K 15;25032195;1;C-100;3/11/26;3/10/26;25000
15-070-435-01880-076130G0;K 15;25032227;1;C-130;3/11/26;3/10/26;25000
05-070-420-00800-076150G0;K 05;25032177;2;C-120;3/10/26 17:00;3/9/26;10000
15-070-435-01840-076130G0;K 15;25031944;1;C-100;3/10/26 17:00;3/9/26;25000
15-070-435-01840-076130G0;K 15;25031978;1;C-120;3/10/26 17:00;3/9/26;25000
05-070-420-00850-076150G0;K 05;25032177;1;C-120;3/10/26 17:00;3/9/26;15000
15-070-435-01860-076130G0;K 15;25031950;1;C-100;3/10/26 17:00;3/9/26;25000
05-070-420-00800-076150G0;K 05;25032482;1;C-120;3/10/26;3/9/26;25000
05-070-420-00800-076150G0;K 05;25032483;1;C-120;3/10/26;3/9/26;25000
15-070-435-01860-076130G0;K 15;25032225;1;C-130;3/10/26;3/9/26;25000
15-070-435-01800-076130G0;K 15;25032223;1;C-130;3/10/26;3/9/26;25000
15-070-435-01840-076130G0;K 15;25032224;1;C-130;3/10/26;3/10/26;25000
15-070-435-01880-076130G0;K 15;25031971;1;C-110;3/9/26 17:00;3/5/26;25000
15-070-435-01190-076130G0;K 15;25032301;2;C-130;3/9/26;3/6/26;7500
15-070-435-01820-076130G0;K 15;25032301;3;C-130;3/9/26;3/6/26;10000
15-070-435-01880-076130G0;K 15;25032100;1;C-130;3/9/26;3/9/26;25000
15-070-435-01840-076130G0;K 15;25032077;1;C-100;3/9/26;3/6/26;25000
15-070-435-01860-076130G0;K 15;25032078;1;C-100;3/9/26;3/6/26;25000
15-070-435-01890-076130G0;K 15;25032091;1;C-120;3/9/26;3/6/26;15000
15-070-435-01820-076130G0;K 15;25032091;2;C-120;3/9/26;3/6/26;10000
05-070-420-00800-076150G0;K 05;25032300;1;C-110;3/9/26;3/6/26;25000
15-070-435-01800-076130G0;K 15;25032076;1;C-100;3/9/26;3/6/26;25000
05-070-420-01100-076150G0;K 05;25032387;1;C-120;3/6/26;3/5/26;25000
15-070-435-01800-076130G0;K 15;25032097;1;C-130;3/6/26;3/5/26;25000
15-070-435-01840-076130G0;K 15;25032098;1;C-130;3/6/26;3/6/26;25000
15-070-435-01840-076130G0;K 15;25032070;1;C-100;3/6/26;3/5/26;25000
15-070-435-01720-076130G0;K 15;25032082;2;C-110;3/6/26;3/5/26;15000
15-070-435-01890-076130G0;K 15;25032074;1;C-100;3/6/26;3/5/26;25000
05-070-420-00800-076150G0;K 05;25032386;1;C-120;3/6/26;3/5/26;25000
15-070-435-01880-076130G0;K 15;25032090;1;C-120;3/6/26;3/5/26;25000
15-070-435-01680-076130G0;K 15;25032082;1;C-110;3/6/26;3/5/26;10000
15-070-435-01860-076130G0;K 15;25032073;1;C-100;3/6/26;3/5/26;25000
15-070-435-01800-076130G0;K 15;25031839;1;C-110;3/5/26 17:00;3/4/26;25000
15-070-435-01740-076130G0;K 15;25032086;3;C-120;3/5/26 17:00;3/4/26;7500
15-070-435-01720-076130G0;K 15;25032086;2;C-120;3/5/26 17:00;3/4/26;12500
15-070-435-01760-076130G0;K 15;25031751;1;C-130;3/5/26 17:00;3/4/26;25000
15-070-435-01860-076130G0;K 15;25032068;1;C-100;3/5/26;3/4/26;25000
15-070-435-01720-076130G0;K 15;25032066;1;C-100;3/5/26;3/4/26;10000
15-070-435-01740-076130G0;K 15;25032066;2;C-100;3/5/26;3/4/26;15000
15-070-435-01880-076130G0;K 15;25032069;1;C-100;3/5/26;3/4/26;25000
15-070-435-01860-076130G0;K 15;25032095;1;C-130;3/5/26;3/4/26;25000
15-070-435-01860-076130G0;K 15;25032079;1;C-110;3/5/26;3/4/26;25000
15-070-435-01800-076130G0;K 15;25032088;1;C-120;3/5/26;3/4/26;25000
15-070-435-01880-076130G0;K 15;25032080;1;C-110;3/5/26;3/4/26;25000
15-070-435-01880-076130G0;K 15;25032096;1;C-130;3/5/26;3/4/26;25000
15-070-435-01840-076130G0;K 15;25032089;1;C-120;3/5/26;3/4/26;25000
15-070-435-01840-076130G0;K 15;25031970;1;C-110;3/4/26 17:00;3/3/26;25000
15-070-435-01800-076130G0;K 15;25032062;1;C-100;3/4/26;3/3/26;25000
15-070-435-01190-076130G0;K 15;25032128;3;C-100;3/4/26;3/3/26;4500
15-070-435-01860-076130G0;K 15;25032065;1;C-100;3/4/26;3/3/26;25000
15-070-435-01150-076130G0;K 15;25032128;1;C-100;3/4/26;3/3/26;3000
15-070-435-01170-076130G0;K 15;25032128;2;C-100;3/4/26;3/3/26;7500
15-070-435-01860-076130G0;K 15;25032087;1;C-120;3/4/26;3/3/26;25000
15-070-435-01840-076130G0;K 15;25032064;1;C-100;3/4/26;3/4/26;25000
15-070-435-00750-076130G0;K 15;25031645;1;C-100;3/3/26 17:00;3/2/26;15000
15-070-435-01800-076130G0;K 15;25031986;1;C-130;3/3/26 17:00;3/2/26;25000
15-070-435-01840-076130G0;K 15;25031645;2;C-100;3/3/26 17:00;3/2/26;10000
05-070-420-01400-076150G0;K 05;25032248;1;C-120;3/3/26;3/2/26;10000
05-070-420-00900-076150G0;K 05;25032247;2;C-120;3/3/26;3/2/26;15000
15-070-435-01880-076130G0;K 15;25032085;1;C-120;3/3/26;3/2/26;25000
15-070-435-01880-076130G0;K 15;25032092;1;C-130;3/3/26;3/2/26;25000
05-070-420-00600-076150G0;K 05;25032247;1;C-120;3/3/26;3/2/26;10000
15-070-435-01880-076130G0;K 15;25032061;1;C-100;3/3/26;3/2/26;25000
15-070-435-01860-076130G0;K 15;25032060;1;C-100;3/3/26;3/2/26;25000
15-070-435-01820-076130G0;K 15;25031987;1;C-130;3/3/26;3/3/26;25000
05-070-420-01900-076150G0;K 05;25032248;2;C-120;3/3/26;3/2/26;15000
05-070-420-01100-076150G0;K 05;25031964;1;C-110;3/2/26 17:00;2/19/26;25000
15-070-435-01880-076130G0;K 15;25031982;1;C-130;3/2/26 17:00;2/27/26;25000
15-070-435-01880-076130G0;K 15;25031976;1;C-120;3/2/26 17:00;2/27/26;25000
15-070-435-01900-076130G0;K 15;25031958;1;C-100;3/2/26;2/27/26;25000
15-070-435-01860-076130G0;K 15;25031959;1;C-100;3/2/26;3/2/26;25000
05-070-420-01900-076150G0;K 05;25032207;2;C-110;3/2/26;2/27/26;12500
15-070-435-01880-076130G0;K 15;25031990;1;C-100;3/2/26;3/2/26;25000
05-070-420-01400-076150G0;K 05;25032207;1;C-110;3/2/26;2/27/26;12500
15-070-435-01800-076130G0;K 15;25031957;1;C-100;3/2/26;2/27/26;25000
15-070-435-01170-076130G0;K 15;25032137;3;C-130;3/2/26;2/27/26;7500
15-070-435-01000-076130G0;K 15;25032137;2;C-130;3/2/26;2/27/26;5000
15-070-435-01130-076130G0;K 15;25032037;2;C-100;2/27/26 17:00;2/26/26;3000
15-070-435-01110-076130G0;K 15;25032037;1;C-100;2/27/26 17:00;2/26/26;1400
15-070-435-01780-076130G0;K 15;25032037;3;C-100;2/27/26 17:00;2/26/26;10000
15-070-435-01130-076130G0;K 15;25032222;2;C-130;2/27/26;2/25/26;3000
15-070-435-01740-076130G0;K 15;25032222;3;C-130;2/27/26;2/25/26;7000
15-070-435-01840-076130G0;K 15;25031954;1;C-100;2/27/26;2/26/26;25000
15-070-435-01780-076130G0;K 15;25031968;1;C-110;2/27/26;2/26/26;5000
15-070-435-01800-076130G0;K 15;25031968;2;C-110;2/27/26;2/26/26;20000
15-070-435-01890-076130G0;K 15;25031956;1;C-100;2/27/26;2/25/26;25000
15-070-435-01860-076130G0;K 15;25031985;1;C-130;2/27/26;2/26/26;25000
15-070-435-01800-076130G0;K 15;25031975;2;C-120;2/27/26;2/26/26;17500
15-070-435-01780-076130G0;K 15;25031975;1;C-120;2/27/26;2/26/26;7500
15-070-435-01860-076130G0;K 15;25031955;1;C-100;2/27/26;2/26/26;25000
15-070-435-01860-076130G0;K 15;25031973;1;C-120;2/26/26;2/25/26;25000
15-070-435-01880-076130G0;K 15;25031974;2;C-120;2/26/26;2/25/26;17500
15-070-435-01840-076130G0;K 15;25031983;1;C-130;2/26/26;2/25/26;25000
05-070-420-00600-076150G0;K 05;25032135;2;C-110;2/26/26;2/25/26;17000
15-070-435-01890-076130G0;K 15;25031967;1;C-110;2/26/26;2/25/26;25000
15-070-435-01860-076130G0;K 15;25031952;1;C-100;2/26/26;2/25/26;25000
15-070-435-01880-076130G0;K 15;25031953;1;C-100;2/26/26;2/25/26;25000
15-070-435-01880-076130G0;K 15;25031984;1;C-130;2/26/26;2/25/26;25000
15-070-435-01840-076130G0;K 15;25031972;1;C-120;2/25/26;2/24/26;25000
15-070-435-01800-076130G0;K 15;25031948;1;C-100;2/25/26;2/24/26;25000
15-070-435-01880-076130G0;K 15;25031966;1;C-110;2/25/26;2/24/26;25000
15-070-435-01840-076130G0;K 15;25031965;1;C-110;2/25/26;2/24/26;25000
15-070-435-01840-076130G0;K 15;25031949;1;C-100;2/25/26;2/25/26;25000
15-070-435-01840-076130G0;K 15;25031844;1;C-120;2/24/26 17:00;2/23/26;25000
15-070-435-01880-076130G0;K 15;25031854;1;C-130;2/24/26 17:00;2/23/26;25000
15-070-435-01860-076130G0;K 15;25031843;1;C-110;2/24/26 17:00;2/23/26;25000
05-070-420-00700-076150G0;K 05;25032041;1;C-120;2/24/26;2/23/26;12500
05-070-420-00800-076150G0;K 05;25032041;2;C-120;2/24/26;2/23/26;12500
05-070-420-01900-076150G0;K 05;25032042;2;C-120;2/24/26;2/24/26;15000
05-070-420-00800-076150G0;K 05;25031991;1;C-110;2/24/26;2/23/26;25000
15-070-435-01860-076130G0;K 15;25031980;1;C-130;2/24/26;2/23/26;25000
15-070-435-01800-076130G0;K 15;25031979;1;C-130;2/24/26;2/24/26;25000
15-070-435-01880-076130G0;K 15;25031946;1;C-100;2/24/26;2/23/26;25000
15-070-435-01860-076130G0;K 15;25031945;1;C-100;2/24/26;2/23/26;25000
05-070-420-00900-076150G0;K 05;25032042;1;C-120;2/24/26;2/24/26;10000
05-070-420-00800-076150G0;K 05;25031651;2;C-120;2/23/26 17:00;2/20/26;10000
15-070-435-01800-076130G0;K 15;25031851;1;C-130;2/23/26 17:00;2/20/26;25000
05-070-420-00850-076150G0;K 05;25031651;1;C-120;2/23/26 17:00;2/20/26;15000
15-070-435-01890-076130G0;K 15;25031835;1;C-100;2/23/26;2/20/26;25000
05-070-420-01100-076150G0;K 05;25032133;2;C-120;2/23/26;2/20/26;12500
15-070-435-01760-076130G0;K 15;25031848;1;C-120;2/23/26;2/20/26;25000
05-070-420-00900-076150G0;K 05;25031963;1;C-110;2/23/26;2/20/26;25000
05-070-420-01600-076150G0;K 05;25032133;1;C-120;2/23/26;2/20/26;12500
15-070-435-01840-076130G0;K 15;25031834;1;C-100;2/23/26;2/20/26;25000
15-070-435-01760-076130G0;K 15;25031833;1;C-100;2/23/26;2/20/26;25000
05-070-420-00800-076150G0;K 05;25032039;1;C-110;2/23/26;2/20/26;25000
15-070-435-01840-076130G0;K 15;25031849;1;C-130;2/20/26 17:00;2/19/26;25000
15-070-435-01860-076130G0;K 15;25031830;1;C-100;2/20/26;2/20/26;25000
15-070-435-01880-076130G0;K 15;25031831;1;C-100;2/20/26;2/19/26;25000
15-070-435-01760-076130G0;K 15;25031841;1;C-110;2/20/26;2/19/26;25000
15-070-435-01880-076130G0;K 15;25031842;1;C-110;2/20/26;2/19/26;25000
15-070-435-01860-076130G0;K 15;25031853;1;C-130;2/20/26;2/19/26;25000
15-070-435-01800-076130G0;K 15;25031846;1;C-120;2/20/26;2/19/26;25000
05-070-420-00980-076150G0;K 05;25032027;3;C-120;2/19/26;;4600
15-070-435-01880-076130G0;K 15;25031852;1;C-130;2/19/26;2/18/26;25000
15-070-435-01800-076130G0;K 15;25031826;1;C-100;2/19/26;2/18/26;25000
15-070-435-01880-076130G0;K 15;25031845;1;C-120;2/19/26;2/18/26;25000
15-070-435-01860-076130G0;K 15;25031828;1;C-100;2/19/26;2/18/26;25000
05-070-420-00980-076130G0;K 05;25032028;3;C-120;2/19/26;2/18/26;4600
15-070-435-01840-076130G0;K 15;25031840;1;C-110;2/19/26;2/19/26;25000
15-070-435-01840-076130G0;K 15;25031827;1;C-100;2/19/26;2/18/26;25000
15-070-435-01890-076130G0;K 15;25031739;1;C-120;2/18/26 17:00;2/17/26;25000
15-070-435-01860-076130G0;K 15;25031593;1;C-120;2/18/26 17:00;2/17/26;25000
15-070-435-01900-076130G0;K 15;25031825;1;C-100;2/18/26;2/17/26;25000
15-070-435-01860-076130G0;K 15;25031823;1;C-100;2/18/26;2/17/26;25000
15-070-435-01880-076130G0;K 15;25031824;1;C-100;2/18/26;2/18/26;25000
15-070-435-01880-076130G0;K 15;25031838;1;C-110;2/18/26;2/17/26;25000
15-070-435-01880-076130G0;K 15;25031594;1;C-120;2/17/26 17:00;2/16/26;25000
15-070-435-01880-076130G0;K 15;25031602;1;C-130;2/17/26 17:00;2/17/26;25000
15-070-435-01760-076130G0;K 15;25031597;1;C-130;2/17/26 17:00;2/16/26;25000
05-070-420-00700-076150G0;K 05;25031935;1;C-120;2/17/26;2/16/26;10000
05-070-420-00900-076150G0;K 05;25031935;2;C-120;2/17/26;2/16/26;15000
05-070-420-01900-076150G0;K 05;25031962;2;C-110;2/17/26;2/16/26;15000
15-070-435-01860-076130G0;K 15;25031837;1;C-110;2/17/26;2/16/26;25000
15-070-435-01860-076130G0;K 15;25031822;1;C-100;2/17/26;2/16/26;25000
15-070-435-01840-076130G0;K 15;25031821;1;C-100;2/17/26;2/13/26;25000
05-070-420-01400-076150G0;K 05;25031961;2;C-110;2/17/26;2/16/26;12500
05-070-420-01200-076150G0;K 05;25031321;1;C-120;2/16/26 17:00;2/13/26;15000
05-070-420-01100-076150G0;K 05;25031321;2;C-120;2/16/26 17:00;2/13/26;10000
15-070-435-01800-076130G0;K 15;25031736;1;C-120;2/16/26 17:00;2/13/26;25000
15-070-435-01800-076130G0;K 15;25031721;1;C-100;2/16/26;2/13/26;25000
15-070-435-01170-076130G0;K 15;25031749;1;C-130;2/16/26;2/13/26;12500
15-070-435-01760-076130G0;K 15;25031732;1;C-110;2/16/26;2/13/26;25000
15-070-435-01800-076130G0;K 15;25031733;1;C-110;2/16/26;2/13/26;25000
15-070-435-01860-076130G0;K 15;25031791;1;C-100;2/16/26;2/13/26;25000
15-070-435-01190-076130G0;K 15;25031749;2;C-130;2/16/26;2/13/26;12500
15-070-435-01880-076130G0;K 15;25031723;1;C-100;2/16/26;2/16/26;25000
15-070-435-01840-076130G0;K 15;25031722;1;C-100;2/16/26;2/13/26;25000
15-070-435-01720-076130G0;K 15;25031750;1;C-130;2/16/26;2/16/26;25000
15-070-435-01130-076130G0;K 15;25031746;2;C-130;2/13/26;2/16/26;3000
15-070-435-01150-076130G0;K 15;25031746;3;C-130;2/13/26;2/16/26;7000
15-070-435-01860-076130G0;K 15;25031747;1;C-130;2/13/26;2/12/26;25000
15-070-435-01860-076130G0;K 15;25031719;1;C-100;2/13/26;2/12/26;25000
15-070-435-01890-076130G0;K 15;25031720;1;C-100;2/13/26;2/11/26;25000
15-070-435-01880-076130G0;K 15;25031738;2;C-120;2/13/26;2/12/26;22000
15-070-435-01880-076130G0;K 15;25031748;1;C-130;2/13/26;2/12/26;25000
15-070-435-01680-076130G0;K 15;25031731;1;C-110;2/13/26;2/12/26;7500
15-070-435-01720-076130G0;K 15;25031731;2;C-110;2/13/26;2/12/26;17500
15-070-435-01860-076130G0;K 15;25031737;1;C-120;2/13/26;2/12/26;25000
15-070-435-01800-076130G0;K 15;25031746;1;C-130;2/13/26;2/16/26;15000
15-070-435-01880-076130G0;K 15;25031744;1;C-130;2/12/26;2/11/26;25000
15-070-435-01840-076130G0;K 15;25031715;1;C-100;2/12/26;2/11/26;25000
15-070-435-01860-076130G0;K 15;25031716;1;C-100;2/12/26;2/11/26;25000
15-070-435-01880-076130G0;K 15;25031717;1;C-100;2/12/26;2/11/26;25000
15-070-435-01890-076130G0;K 15;25031729;1;C-110;2/12/26;2/12/26;25000
15-070-435-00720-076130G0;K 15;25031644;1;C-100;2/12/26;;10000
15-070-435-01860-076130G0;K 15;25031644;2;C-100;2/12/26;;15000
15-070-435-01840-076130G0;K 15;25031745;1;C-130;2/12/26;2/12/26;25000
15-070-435-01860-076130G0;K 15;25031643;2;C-100;2/12/26;;15000
15-070-435-00700-076130G0;K 15;25031643;1;C-100;2/12/26;;10000
15-070-435-01800-076130G0;K 15;25031710;1;C-100;2/11/26;2/10/26;25000
15-070-435-01840-076130G0;K 15;25031711;1;C-100;2/11/26;2/10/26;25000
15-070-435-01860-076130G0;K 15;25031712;1;C-100;2/11/26;2/10/26;25000
15-070-435-01900-076130G0;K 15;25031743;1;C-130;2/11/26;2/10/26;7500
15-070-435-01880-076130G0;K 15;25031727;1;C-110;2/11/26;2/10/26;25000
15-070-435-01840-076130G0;K 15;25031735;1;C-120;2/11/26;2/10/26;25000
15-070-435-01860-076130G0;K 15;25031741;1;C-130;2/11/26;2/10/26;25000
15-070-435-01840-076130G0;K 15;25031726;1;C-110;2/11/26;2/10/26;25000
05-070-420-01400-076150G0;K 05;25031753;1;C-110;2/10/26 17:00;2/9/26;17000
15-070-435-01880-076130G0;K 15;25031507;1;C-130;2/10/26 17:00;2/10/26;25000
